seed_id	arxiv_id	seed_group	expected_status	search_recall_expectation	required_recall	recovered	recovered_by	recovered_logical_families	notes
bui2026opendev	2603.05344	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_c_strong_memory_se__chunk02	family_a_coding_agent_memory;family_c_strong_memory_se	known included seed; search should recover or explicitly justify.
chen2025sweexp	2507.23361	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_b_generic_agent_memory_se__chunk01;family_b_generic_agent_memory_se__chunk03;family_b_generic_agent_memory_se__chunk05;family_b_generic_agent_memory_se__chunk10;family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_a_coding_agent_memory;family_b_generic_agent_memory_se;family_c_strong_memory_se	included study; explicit experience-driven issue-resolution seed.
deng2026memcoder	2603.13258	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_c_strong_memory_se__chunk02	family_a_coding_agent_memory;family_c_strong_memory_se	included study; structured-memory coding-agent seed.
deshpande2025memtrack	2510.01353	v1_included_contextual	include_or_rescreen	database_query	yes	yes	family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02	family_c_strong_memory_se	contextual study; multi-platform memory benchmark with Git/Linear tasks.
dong2026kernelblaster	2602.14293	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_b_generic_agent_memory_se__chunk01;family_b_generic_agent_memory_se__chunk03;family_b_generic_agent_memory_se__chunk04;family_b_generic_agent_memory_se__chunk11;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_a_coding_agent_memory;family_b_generic_agent_memory_se;family_c_strong_memory_se	included study; tests CUDA/code-optimization boundary.
du2026memory	2603.07670	v1_included_contextual	include_or_rescreen	citation_or_manual_allowed	no	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02	family_a_coding_agent_memory	Generic memory survey; may enter through citation chasing/contextual rationale rather than database query.
guo2026eet	2601.05777	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_c_strong_memory_se__chunk03	family_a_coding_agent_memory;family_c_strong_memory_se	included study; experience-driven cost-efficiency seed.
hosain2025xolver	2506.14234	known_included_seed	include_or_rescreen	database_query	yes	yes	family_b_generic_agent_memory_se__chunk13;family_c_strong_memory_se__chunk05	family_b_generic_agent_memory_se;family_c_strong_memory_se	included study; coding/math multi-agent experience-learning boundary.
joshi2025swebenchcl	2507.00014	v1_included_contextual	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_a_coding_agent_memory;family_c_strong_memory_se	benchmark/contextual study; title-only coding-agent terms must be recovered.
li2026traversalaspolicy	2603.05517	known_included_seed	include_or_rescreen	database_query	yes	yes	family_b_generic_agent_memory_se__chunk01	family_b_generic_agent_memory_se	boundary architecture study.
lindenbauer2025ctimrover	2505.23422	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02	family_a_coding_agent_memory;family_c_strong_memory_se	included study; negative-result episodic-memory seed.
nadafian2026kapso	2601.21526	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01	family_a_coding_agent_memory	included study; program-synthesis memory seed.
qian2024iterative	2405.04219	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_b_generic_agent_memory_se__chunk01	family_a_coding_agent_memory;family_b_generic_agent_memory_se	included study; older precursor.
shen2025talm	2510.23010	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk04	family_a_coding_agent_memory;family_c_strong_memory_se	included study; long-term-memory code-generation seed.
shen2026structurally	2602.21611	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01	family_a_coding_agent_memory	included study; subtask-level memory seed.
srivastava2025memorygraft	2512.16962	v1_included_contextual	include_or_rescreen	database_query	yes	yes	family_b_generic_agent_memory_se__chunk13;family_b_generic_agent_memory_se__chunk15;family_c_strong_memory_se__chunk05;family_c_strong_memory_se__chunk06	family_b_generic_agent_memory_se;family_c_strong_memory_se	contextual/security study; poisoning seed.
su2025learnbyinteract	2501.10893	known_included_seed	include_or_rescreen	database_query	yes	yes	family_b_generic_agent_memory_se__chunk01;family_b_generic_agent_memory_se__chunk07;family_c_strong_memory_se__chunk02	family_b_generic_agent_memory_se;family_c_strong_memory_se	included study; self-adaptive agent experience seed.
tablan2025smarter	2511.08301	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk03;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk04	family_a_coding_agent_memory;family_c_strong_memory_se	included study; shared experiential learning seed.
vasilopoulos2026codified	2602.20478	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02	family_a_coding_agent_memory	included study; context infrastructure seed.
wang2025repositorymemory	2510.01003	known_included_seed	include_or_rescreen	database_query	yes	yes	family_b_generic_agent_memory_se__chunk01	family_b_generic_agent_memory_se	included study; repository-memory seed.
wang2026codemem	2601.02868	known_included_seed	include_or_rescreen	database_query	yes	yes	family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_c_strong_memory_se	manual-addition seed; search should recover if possible.
wang2026memgovern	2601.06789	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01	family_a_coding_agent_memory	included study; governed-experience seed.
wong2025confucius	2512.10398	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_a_coding_agent_memory;family_c_strong_memory_se	included study; code-agent scaffolding seed.
wu2025gcc	2508.00031	known_included_seed	include_or_rescreen	database_query	yes	yes	family_b_generic_agent_memory_se__chunk01	family_b_generic_agent_memory_se	included study; persistent context/control seed.
xia2025livesweagent	2511.13646	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk02;family_a_coding_agent_memory__chunk03;family_b_generic_agent_memory_se__chunk07;family_b_generic_agent_memory_se__chunk11;family_b_generic_agent_memory_se__chunk12;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03;family_c_strong_memory_se__chunk04	family_a_coding_agent_memory;family_b_generic_agent_memory_se;family_c_strong_memory_se	boundary architecture study; self-evolution boundary.
zhang2025accelopt	2511.15915	known_included_seed	include_or_rescreen	database_query	yes	yes	family_b_generic_agent_memory_se__chunk13;family_b_generic_agent_memory_se__chunk14;family_b_generic_agent_memory_se__chunk15;family_c_strong_memory_se__chunk05;family_c_strong_memory_se__chunk06	family_b_generic_agent_memory_se;family_c_strong_memory_se	included study; accelerator code optimization seed.
zhang2025darwingodel	2505.22954	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_a_coding_agent_memory__chunk03;family_c_strong_memory_se__chunk04	family_a_coding_agent_memory;family_c_strong_memory_se	included study; self-improving coding-agent seed.
zhou2025tomswe	2510.21903	known_included_seed	include_or_rescreen	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_c_strong_memory_se__chunk01	family_a_coding_agent_memory;family_c_strong_memory_se	included study; software-engineering-agent memory seed.
ouyang2026reasoningbank	2509.25140	delta_high_confidence	include_if_reopened	database_query	yes	yes	family_b_generic_agent_memory_se__chunk01;family_b_generic_agent_memory_se__chunk04;family_b_generic_agent_memory_se__chunk07;family_b_generic_agent_memory_se__chunk11;family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_b_generic_agent_memory_se;family_c_strong_memory_se	Missed by C1 wording; must be recovered by current search.
mu2025experepair	2506.10484	delta_high_confidence	include_if_reopened	database_query	yes	yes	family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_c_strong_memory_se	Missed from ledgers; explicit dual-memory repository repair.
tang2025agentkb	2507.06229	delta_high_confidence	include_if_reopened	database_query	yes	yes	family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_c_strong_memory_se	Missed from ledgers; generic agent memory with SWE-bench evaluation.
zhu2026swecontextbench	2602.08316	delta_high_confidence	include_contextual_if_reopened	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_c_strong_memory_se__chunk02	family_a_coding_agent_memory;family_c_strong_memory_se	Missed benchmark/contextual candidate for context reuse in programming agents.
ma2026failuremem	2603.17826	delta_high_confidence	include_if_reopened	database_query	yes	yes	family_c_strong_memory_se__chunk01	family_c_strong_memory_se	Missed failure-memory repair framework.
zhang2026textbfgs	2602.00059	delta_boundary	likely_include_boundary	database_query	yes	yes	family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03	family_c_strong_memory_se	Boundary candidate: retained case base for code optimization.
weng2026groupevolving	2602.04837	delta_boundary	likely_include_boundary	database_query	yes	yes	family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk03;family_c_strong_memory_se__chunk04	family_c_strong_memory_se	Boundary candidate: experience sharing in self-evolving coding agents.
memorytransfer2026	2604.14004	post_search_candidate	maybe_include_search	database_query	yes	yes	family_a_coding_agent_memory__chunk01;family_a_coding_agent_memory__chunk02;family_c_strong_memory_se__chunk04	family_a_coding_agent_memory;family_c_strong_memory_se	Post-search candidate likely before search date.
costa2026agentspawn	2602.07072	negative_or_boundary_control	probably_exclude	database_query	no	no			Boundary/negative control: mostly intra-run state transfer.
cao2025hxagent	2504.14336	negative_or_boundary_control	exclude_withdrawn	full_text_or_later_version_only	no	yes	family_b_generic_agent_memory_se__chunk01;family_b_generic_agent_memory_se__chunk10;family_c_strong_memory_se__chunk03	family_b_generic_agent_memory_se;family_c_strong_memory_se	Withdrawn arXiv paper with no PDF; reconsider only if later venue version exists.
wang2024falcon	2410.21349	negative_or_boundary_control	probably_exclude	database_query	no	yes	family_c_strong_memory_se__chunk01	family_c_strong_memory_se	Negative control: training/optimization-state memory rather than explicit agent memory.
guidelineforest2025	2506.07820	negative_or_boundary_control	probably_exclude	database_query	no	no			Negative control: generic reasoning memory with code benchmarks.
safesieve2025	2508.11733	negative_or_boundary_control	probably_exclude	database_query	no	yes	family_c_strong_memory_se__chunk03	family_c_strong_memory_se	Negative control: multi-agent pruning with accumulated feedback.
autorefine2026	2601.22758	negative_or_boundary_control	probably_exclude	database_query	no	no			Negative control: strong agent memory but not software-development evaluation.
smith2025	2512.11303	negative_or_boundary_control	probably_exclude	database_query	no	yes	family_b_generic_agent_memory_se__chunk01;family_b_generic_agent_memory_se__chunk02;family_b_generic_agent_memory_se__chunk03;family_b_generic_agent_memory_se__chunk04;family_b_generic_agent_memory_se__chunk07;family_b_generic_agent_memory_se__chunk12;family_c_strong_memory_se__chunk01;family_c_strong_memory_se__chunk02;family_c_strong_memory_se__chunk04	family_b_generic_agent_memory_se;family_c_strong_memory_se	Negative control: generic tool-use memory rather than SE benchmark.
pag2023	2311.07635	negative_or_boundary_control	probably_exclude	database_query	no	no			Negative control: offline example memory for HumanEval code completion.
